date,no2,o3,co,so2,pm10,pm25,코막힘,인후염,기관지염,알레르기비염,호흡기질환,감기약,비염약,기침약,콧물약,알레르기약
2023-01-01,0.023653061224489798,0.022414,0.6772,0.003748,51.795918367346935,36.52,25.52388,43.33612,27.40989,19.53059,3.05951,56.90434,11.26956,15.82608,8.45217,6.43478
2023-01-02,0.020184,0.01972,0.46519999999999995,0.003364,24.82,11.02,30.67896,60.51969,44.97066,21.54233,5.40653,100.0,15.51304,20.69565,13.32173,7.23478
2023-01-03,0.030567999999999998,0.014062000000000002,0.5756,0.00345,29.78,16.18,30.97233,59.34618,42.37217,23.88935,4.86169,97.70434,15.61739,19.7913,12.3826,6.74782
2023-01-04,0.04053,0.010758,0.6973999999999999,0.003792,35.42,22.58,30.67896,60.31014,39.73176,22.00335,4.10729,65.28695,16.8,19.7913,11.51304,7.5826
2023-01-05,0.020583066875907666,0.0062439999999999996,0.44612303180735563,0.002784758713474975,49.32,35.28,29.42162,55.07124,42.37217,24.09891,5.95138,66.7826,16.93913,20.10434,11.51304,6.9913
2023-01-06,0.020583066875907666,0.011448,0.44612303180735563,0.002784758713474975,31.262628533251103,16.68375760685416,28.62531,54.77787,40.36043,20.20117,4.06538,51.68695,17.35652,19.7913,11.96521,7.86086
2023-01-07,0.03009,0.021183999999999998,0.44612303180735563,0.003392,31.262628533251103,16.68375760685416,23.30259,43.75523,34.19949,19.44677,4.73595,37.21739,13.28695,17.53043,10.60869,6.74782
2023-01-08,0.036158,0.010995999999999999,0.44612303180735563,0.00318,31.262628533251103,16.68375760685416,23.3445,40.52808,27.78709,19.15339,4.10729,32.90434,13.21739,15.30434,9.42608,7.02608
2023-01-09,0.031528,0.015868,0.6864,0.003532,31.262628533251103,16.327102082725187,29.29589,61.86085,41.65968,26.40402,6.24476,38.05217,18.29565,20.45217,11.33913,7.82608
2023-01-10,0.020298858046323635,0.008604081632653061,0.44612303180735563,0.0036775510204081633,61.08163265306123,32.857142857142854,27.15842,54.77787,43.2523,21.87761,5.49036,38.88695,16.52173,18.9913,8.86956,7.7913
2023-01-11,0.020583066875907666,0.005520408163265307,0.44612303180735563,0.002784758713474975,30.244910099077355,16.68375760685416,26.23637,51.67644,38.39061,23.80553,5.36462,32.5913,16.86956,18.26086,10.95652,7.65217
2023-01-12,0.020583066875907666,0.006855102040816326,0.44612303180735563,0.002784758713474975,64.22448979591837,16.68375760685416,24.89522,50.58675,40.52808,23.30259,4.73595,29.77391,17.66956,17.14782,10.36521,7.13043
2023-01-13,0.03621632653061224,0.007377551020408163,0.4408265827021971,0.0034448979591836736,21.040816326530614,13.122448979591837,21.24895,47.86253,35.373,22.88348,4.61022,26.50434,15.68695,15.30434,9.21739,7.7913
2023-01-14,0.02423877551020408,0.011575510204081634,0.605,0.002983673469387755,12.020408163265307,7.408163265306122,20.53646,38.89354,29.17015,17.26739,2.97569,20.17391,13.04347,15.2,7.68695,7.65217
2023-01-15,0.014408163265306122,0.0194734693877551,0.4108510638297872,0.0024489795918367346,13.89795918367347,9.770833333333334,18.8181,32.18776,25.10477,16.68063,3.14333,19.65217,12.06956,13.91304,6.05217,7.09565
2023-01-16,0.017642857142857144,0.022995918367346938,0.41958333333333336,0.0026857142857142856,22.0,12.244897959183673,20.99748,50.62866,42.53981,21.8357,5.23889,26.46956,15.93043,16.69565,8.90434,7.61739
2023-01-17,0.03377142857142857,0.009946938775510204,0.55875,0.0029448979591836736,32.83673469387755,17.448979591836736,20.24308,46.39564,37.72003,21.58424,4.35875,25.73913,16.10434,16.17391,8.10434,7.51304
2023-01-18,0.03110408163265306,0.01393469387755102,0.6016666666666667,0.0031122448979591837,53.95918367346939,24.06122448979592,22.04526,46.73093,35.45683,19.27912,5.82564,22.92173,14.88695,13.11304,8.5913,6.74782
2023-01-19,0.03386326530612245,0.015232653061224491,0.65,0.0032836734693877548,62.57142857142857,24.6734693877551,18.18943,43.58759,36.75607,18.98575,3.85582,23.30434,15.09565,11.09565,7.02608,7.65217
2023-01-20,0.014597959183673471,0.025353061224489794,0.39375,0.002704166666666667,65.10204081632654,16.755102040816325,17.18357,39.60603,31.26571,18.10561,3.81391,22.05217,14.01739,11.44347,8.34782,8.20869
2023-01-21,0.02369387755102041,0.01616122448979592,0.45122448979591834,0.0027020833333333337,24.285714285714285,10.510204081632653,15.54903,30.4694,22.75775,14.83654,2.34702,16.97391,14.01739,9.46086,6.60869,8.8
2023-01-22,0.025022448979591837,0.016655102040816328,0.4526530612244898,0.00265625,27.448979591836736,12.244897959183673,17.22548,27.53562,19.27912,17.72841,2.22129,15.06086,13.07826,8.73043,5.77391,9.63478
2023-01-23,0.02331020408163265,0.01903877551020408,0.5881632653061225,0.002789583333333333,53.53061224489796,28.897959183673468,17.14165,31.89438,23.59597,18.48281,3.64626,17.94782,14.46956,11.06086,6.57391,9.70434
2023-01-24,0.0070857142857142855,0.029540816326530613,0.333125,0.0024458333333333333,27.775510204081634,9.46938775510204,18.31517,36.67225,26.90695,21.03939,4.27493,23.51304,13.6,13.49565,7.96521,8.13913
2023-01-25,0.024095918367346942,0.017826530612244897,0.43714285714285717,0.0026918367346938773,21.816326530612244,8.53061224489796,20.74601,49.37133,36.71416,22.29673,5.61609,32.90434,17.00869,16.62608,9.70434,8.03478
2023-01-26,0.03416530612244898,0.0074041666666666665,0.5344897959183674,0.0025938775510204078,30.571428571428573,19.510204081632654,24.64375,49.32942,33.98994,20.41072,4.98742,27.44347,16.0,15.02608,8.62608,8.66086
2023-01-27,0.01769591836734694,0.023281632653061227,0.483265306122449,0.003095918367346939,39.69387755102041,18.979591836734695,21.37468,44.84492,34.19949,20.7041,3.93964,23.30434,15.26956,12.13913,9.32173,6.67826
2023-01-28,0.019079591836734692,0.02125714285714286,0.4259183673469388,0.003130612244897959,38.04081632653061,11.938775510204081,17.51886,37.17518,24.47611,16.09388,3.89773,19.7913,14.22608,12.90434,7.96521,7.44347
2023-01-29,0.022857142857142854,0.01930612244897959,0.5306122448979592,0.0032897959183673473,46.06122448979592,14.653061224489797,19.86588,33.8642,22.67393,18.4409,3.31098,18.64347,12.41739,10.57391,6.46956,7.86086
2023-01-30,0.026681632653061223,0.018442857142857143,0.5387755102040817,0.0033306122448979593,43.38775510204081,15.816326530612244,21.03939,50.29337,34.40905,23.38642,6.0352,22.67826,16.86956,14.12173,9.14782,8.10434
2023-01-31,0.03358367346938775,0.01720612244897959,0.5451020408163265,0.003410204081632653,38.12244897959184,15.857142857142858,21.03939,46.14417,34.70243,21.96144,5.2808,18.7826,14.92173,10.95652,6.4,6.95652
2023-02-01,0.022410204081632655,0.027577551020408164,0.5522448979591836,0.0029224489795918367,64.38775510204081,35.08163265306123,18.8181,45.47359,33.61274,18.14752,4.27493,19.06086,15.2,11.30434,7.7913,6.53913
2023-02-02,0.020855102040816326,0.019816326530612244,0.42979591836734693,0.002871428571428571,42.673469387755105,15.36734693877551,19.11148,47.52724,31.30762,19.65632,4.27493,16.83478,14.7826,10.57391,7.26956,6.95652
2023-02-03,0.026997959183673467,0.016830612244897958,0.4964583333333334,0.0032770833333333332,39.9375,18.612244897959183,18.39899,56.95725,32.56496,18.48281,4.02347,16.55652,15.26956,9.94782,7.75652,6.64347
2023-02-04,0.03254489795918367,0.01826122448979592,0.5991836734693877,0.00355625,40.97872340425532,25.653061224489797,17.18357,41.53394,25.52388,18.52472,2.43084,14.67826,13.46086,10.01739,6.22608,8.73043
2023-02-05,0.03875306122448979,0.02000204081632653,0.44612303180735563,0.0035958333333333333,30.244910099077355,16.68375760685416,17.89606,31.93629,24.89522,19.44677,3.14333,12.86956,12.13913,9.53043,6.36521,6.88695
2023-02-06,0.020583066875907666,0.016212244897959183,0.44612303180735563,0.0035041666666666663,31.262628533251103,16.68375760685416,19.90779,51.92791,38.30678,24.18273,5.99329,21.6,17.6,11.47826,7.2,7.96521
2023-02-07,0.020583066875907666,0.01459591836734694,0.44612303180735563,0.0032729166666666666,31.262628533251103,16.68375760685416,21.24895,47.73679,35.79212,24.09891,5.99329,19.82608,17.11304,10.08695,8.03478,7.13043
2023-02-08,0.032218367346938774,0.02071224489795918,0.715,0.0033416666666666664,30.244910099077355,16.68375760685416,18.31517,51.42497,37.55238,23.59597,4.5264,20.52173,16.73043,10.01739,8.10434,7.44347
2023-02-09,0.030122448979591838,0.021357142857142856,0.5241666666666667,0.0032666666666666664,36.816326530612244,22.897959183673468,19.02766,50.71248,34.78625,22.5901,4.19111,20.27826,15.47826,9.84347,8.13913,7.86086
2023-02-10,0.023242857142857145,0.02390204081632653,0.43291666666666667,0.0026458333333333334,22.428571428571427,16.428571428571427,17.72841,46.22799,31.55909,22.67393,4.35875,16.20869,14.64347,9.46086,6.92173,7.72173
2023-02-11,0.039577551020408164,0.012424489795918368,0.696530612244898,0.0029291666666666667,45.40816326530612,35.265306122448976,15.12992,38.22296,28.83487,20.03352,2.89186,13.25217,12.8,10.29565,7.47826,7.82608
2023-02-12,0.03399387755102041,0.017889795918367347,0.44612303180735563,0.0028729166666666664,30.244910099077355,16.68375760685416,19.11148,38.01341,23.76362,21.79379,3.14333,13.94782,13.80869,8.10434,6.01739,7.40869
2023-02-13,0.026063265306122445,0.025024489795918366,0.5910416666666667,0.00275625,33.285714285714285,22.428571428571427,21.62615,58.6756,41.07292,26.82313,3.98155,17.63478,17.49565,12.31304,9.00869,8.5913
2023-02-14,0.021053061224489796,0.02532857142857143,0.494375,0.0032062500000000003,37.95918367346939,23.346938775510203,18.14752,49.03604,37.00754,25.14668,5.78373,18.33043,16.17391,9.87826,8.17391,7.93043
2023-02-15,0.02176938775510204,0.02497142857142857,0.37382978723404253,0.002629166666666667,17.816326530612244,9.53061224489796,21.66806,51.71835,34.32523,24.85331,4.35875,18.15652,15.51304,9.80869,8.55652,7.09565
2023-02-16,0.02649183673469388,0.022081632653061227,0.4320833333333333,0.002829166666666667,28.142857142857142,18.408163265306122,19.90779,49.83235,34.45096,21.4585,4.19111,17.28695,16.17391,10.08695,8.48695,7.23478
2023-02-17,0.020298858046323635,0.014379591836734694,0.61,0.0030958333333333337,46.61224489795919,32.63265306122449,20.03352,48.95222,32.98407,19.9497,3.43671,15.44347,14.81739,9.84347,7.47826,6.9913
